robot_id,timestamp,connection_state,battery_pct,mission_state,mission_id,stuck,charging,errors
BR-SERVI-0417,2026-08-12T00:00:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:01:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:02:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:03:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:04:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:05:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:06:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:07:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:08:00Z,offline,90,,,false,false,
BR-SERVI-0417,2026-08-12T00:09:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:10:00Z,online,93,charging,,false,true,
BR-SERVI-0417,2026-08-12T00:11:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:12:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:13:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:14:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:15:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:16:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:17:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:18:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:19:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:20:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:21:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:22:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:23:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:24:00Z,offline,90,,,false,false,
BR-SERVI-0417,2026-08-12T00:25:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:26:00Z,online,93,charging,,false,true,
BR-SERVI-0417,2026-08-12T00:27:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:28:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:29:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:30:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:31:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:32:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:33:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:34:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:35:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:36:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:37:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:38:00Z,offline,91,,,false,false,
BR-SERVI-0417,2026-08-12T00:39:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:40:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:41:00Z,online,90,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:42:00Z,online,93,charging,,false,true,
BR-SERVI-0417,2026-08-12T00:43:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:44:00Z,online,93,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:45:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:46:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:47:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:48:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:49:00Z,online,92,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:50:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:51:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:52:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:53:00Z,offline,91,,,false,false,
BR-SERVI-0417,2026-08-12T00:54:00Z,online,91,idle,,false,false,
BR-SERVI-0417,2026-08-12T00:55:00Z,offline,90,,,false,false,
BR-SERVI-0417,2026-08-12T00:56:00Z,online,90,idle,,false,false,
